Tweet id,Tweet_permalink,Tweet_text,Attribute,time,impressions,engagements,url clicks
9.79E+17,https://twitter.com/tippingpoint/status/979158090573426688,"""We need to do something here at home"" - Chuck Robbins, CEOExciting move by @Cisco will boost the excellent work of @DSTNHome and others working to serve those experiencing homelessness in #SiliconValley @mercnewshttps://t.co/lxof3N0aTm",Corporate Social Responsibility,2018-03-29 00:47 +0000,1683,32,3
9.74E+17,https://twitter.com/tippingpoint/status/973972029677322240,Our #SFGives partner @BoxHQ just announced the expansion of #BoxOrg via @TidesCommunity and several other programs for Boxers to invest in their communities. Thank you for leading the way! #CSR #BeATippingPoint https://t.co/XFtaWfmvou,Corporate Social Responsibility,2018-03-14 17:20 +0000,1030,17,8
9.64E+17,https://twitter.com/tippingpoint/status/963586586460897280,"Our friends and partners at @Box walk the walk when it comes to corporate social responsibility. Read on to see how your employer can do even more to build a better Bay Area.https://t.co/RCg6v3Wa11",Corporate Social Responsibility,2018-02-14 01:31 +0000,1647,22,10
9.54E+17,https://twitter.com/tippingpoint/status/954170925133447168,"#SFGives partner @blackrock is moving to boost corporate social responsibility across their portfolio, and @Forbes contributor @petercohan offers valuable insight on how to do it right.https://t.co/MxmheMxL65",Corporate Social Responsibility,2018-01-19 01:57 +0000,1072,11,5
9.54E+17,https://twitter.com/tippingpoint/status/954161756720349184,"Fired up to see @Google + @Coursera partner with @YearUp, @Upwardly_Global and others to build pathways into the 21st century workforce for anyone with a will to learn. @VentureBeathttps://t.co/pigLUtsy0d",Corporate Social Responsibility,2018-01-19 01:21 +0000,2204,18,4
9.52E+17,https://twitter.com/tippingpoint/status/952252392531046400,".@Box walks the walk when it comes to corporate social responsibility. We're fired up to see them partner with @YearUpBayArea, @stridecenter + @GenesysWorksBA to hire diverse Bay Area talent.https://t.co/pBaiCZJ9Uf",Corporate Social Responsibility,2018-01-13 18:53 +0000,1193,5,0
9.52E+17,https://twitter.com/tippingpoint/status/951627082437505024,"Looking for inspiration to make a bigger impact in 2018? @Forbes sits down with life-long investor and advocate @BricksonDiamond to discuss his journey to incorporate philanthropy into his career.https://t.co/Ym5uCtJ2Wd",Corporate Social Responsibility,2018-01-12 01:29 +0000,1385,14,3
9.47E+17,https://twitter.com/tippingpoint/status/947142898381754368,".@iamwesmoore - we're with you. We are committed to a relentless, multi-sector effort to help our neighbors build permanent paths out of poverty. @RobinHoodNYC @CNNMoneyhttps://t.co/lP9iKFxDsq",Corporate Social Responsibility,2017-12-30 16:30 +0000,2402,34,10
9.41E+17,https://twitter.com/tippingpoint/status/941468330254254080,"Fired up to see @Forbes publish the #SFGives playbook on Diversity + Inclusion in @GradsofLife. We need to create on-ramps for people of all backgrounds to build a Bay Area where everyone has the chance to prosper.https://t.co/ToDAUUUEzm",Corporate Social Responsibility,2017-12-15 00:41 +0000,845,10,6
9.24E+17,https://twitter.com/tippingpoint/status/923966544513720320,@LiveNationSF @gileadsciences @intuit @Stubhub @TwitterForGood @kpcb @qatalystgroup @TMG_Partners,Corporate Social Responsibility,2017-10-27 17:36 +0000,492,3,0
9.24E+17,https://twitter.com/tippingpoint/status/923966094271922176,@LiveNationSF @SFGiants @salesforce @twilio @apeconcerts @Google @KPShare @LeviStraussCo @benchmark @svangel @facebook @Gap,Corporate Social Responsibility,2017-10-27 17:34 +0000,610,3,0
9.20E+17,https://twitter.com/tippingpoint/status/920449876432846848,"Fired up to see @Facebook + @JobTrain working together. Partnerships like this one broaden #BayArea prosperity.https://t.co/oSItYnYNvN",Corporate Social Responsibility,2017-10-18 00:42 +0000,1039,10,2
9.16E+17,https://twitter.com/tippingpoint/status/916441490657701889,"Fired up to see #SFGives partner @Salesforce invest in social impact startups. #CSR #BeATippingPoint @Mashablehttps://t.co/sQkTUXsoa1",Corporate Social Responsibility,2017-10-06 23:14 +0000,1192,24,7
9.62E+17,https://twitter.com/tippingpoint/status/961778064505028608,"San Francisco is leading the way towards greater equity in criminal justice by adopting common sense reform that removes a major obstacle for low-income returning citizens. @sfchroniclehttps://t.co/xxJL1uWRYQ",Criminal Justice,2018-02-09 01:45 +0000,1019,8,1
9.81E+17,https://twitter.com/tippingpoint/status/981330471723319298,"While a credit card company cannot jail someone for missing a payment, a bail bondsman can and in many cases does. @nytimes https://t.co/ElygK20YNd",Criminal Justice,2018-04-04 00:39 +0000,1506,9,0
9.25E+17,https://twitter.com/tippingpoint/status/925154877554147328,"Justice should be blind to your bank account. We support dialogue on #bailreform that moves CA toward equity. @NPRhttps://t.co/qmPXC2i1Nb",Criminal Justice,2017-10-31 00:18 +0000,877,22,0
9.78E+17,https://twitter.com/tippingpoint/status/978422133012316160,"We can't improve what we can't evaluate - recent expansion of data collection, sharing + analysis in Florida's criminal justice system has exciting potential to reduce harm that disproportionately impacts low-income people and people of color. @nytimeshttps://t.co/i9iVN8aDNe",Data,2018-03-27 00:03 +0000,1049,7,1
9.65E+17,https://twitter.com/tippingpoint/status/965273242821828608,"We have a lot of work to do to build an inclusive economy with opportunity for all, and it starts right here in the Bay Area. @CalMatters shares data and details on what it will take to get there.https://t.co/GF40LpjIBt",Data,2018-02-18 17:14 +0000,1221,16,4
9.61E+17,https://twitter.com/tippingpoint/status/961049818293444608,"In partnership with @CA_EDD + @OppJunction, we're digging into wage data to understand our grantees' impact better than ever.https://t.co/F12hDOjwhM",Data,2018-02-07 01:31 +0000,1154,10,0
9.97E+17,https://twitter.com/tippingpoint/status/997142494516101123,Looking forward to today's session on using data to demonstrate impact with @jamieaustinSF! https://t.co/Zk7Dhvso9f,Data,2018-05-17 15:51 +0000,479,8,0
9.90E+17,https://twitter.com/tippingpoint/status/990016347001139200,Thank you @TIBCO for partnering with us to deepen our understanding and inform our advocacy around the impact of @sfmta_muni parking fines on low-income San Franciscans! #BeATippingPoint https://t.co/4yHCBWVTiN,Data,2018-04-27 23:54 +0000,1485,13,0
9.90E+17,https://twitter.com/tippingpoint/status/989904163218718720,"@TIBCO Thank you for spreading the word! Excited about our findings, and about teaming up with @TIBCO to solve thorny problems to build a better Bay Area! #BeATippingPoint",Data,2018-04-27 16:28 +0000,754,11,0
9.90E+17,https://twitter.com/tippingpoint/status/989903918208507904,"@StevenHillion Excited about our findings, and about teaming up with @TIBCO to solve thorny problems to build a better Bay Area! #BeATippingPoint",Data,2018-04-27 16:27 +0000,32,4,0
9.90E+17,https://twitter.com/tippingpoint/status/989903886184992769,"@G0RAN_J0HANSS0N Excited about our findings, and about teaming up with @TIBCO to solve thorny problems to build a better Bay Area! #BeATippingPoint",Data,2018-04-27 16:27 +0000,158,4,0
9.84E+17,https://twitter.com/tippingpoint/status/984489220822646784,@Trifacta Go Ashley! Folks can learn more about our approach to data and evaluation at https://t.co/2vUB4AtTYG,Data,2018-04-12 17:51 +0000,237,0,0
9.78E+17,https://twitter.com/tippingpoint/status/978086470052298753,"For your Sunday listening - Dr. Nadine Burke Harris of @CYWSanFrancisco shares her expertise on managing trauma and stress to minimize their impact on children's long-term health. #TippingPointGrantees #BeATippingPointhttps://t.co/HsTGrYfxnF",Early Childhood,2018-03-26 01:49 +0000,1399,16,3
9.75E+17,https://twitter.com/tippingpoint/status/974787905053868032,"New research that can help any parent set their child up for success. We're proud to support nonprofits throughout the Bay Area that focus on early childhood wellness for low-income families.@HPP_SF @CYWSanFrancisco @NFP_nursefamilyhttps://t.co/9XseRO48lb",Early Childhood,2018-03-16 23:22 +0000,1160,21,6
9.72E+17,https://twitter.com/tippingpoint/status/971905526073208832,"Happy #InternationalWomensDay! #TBT Last April, we met Joann + Michelle, two Oakland moms who worked with @NFP_nursefamily to make the most of their first two years of motherhood. Photo Cred: @TravisJensen https://t.co/L12bcMzjrV",Early Childhood,2018-03-09 00:28 +0000,2350,36,0
9.59E+17,https://twitter.com/tippingpoint/status/958865199460597762,"""Childhood adversity literally gets under our skin and has the potential to change our health... But we can do something about it."" @DrBurkeHarris, from San Francisco's @CYWSanFrancisco, in a powerful interview with the @NYTimes.https://t.co/0Na5dk2ISz",Early Childhood,2018-02-01 00:50 +0000,2406,48,14
9.95E+17,https://twitter.com/tippingpoint/status/994744960678166528,"Great to see universal preschool and the needs of children 0-5 take center stage in California's gubernatorial debate. We invest in non-profits that provide early childhood wellness services because we believe this is how to build a better Bay Area.https://t.co/EGjvmY9Njy",Early Childhood,2018-05-11 01:04 +0000,707,2,0
9.56E+17,https://twitter.com/tippingpoint/status/956340805723025408,"Thanks to the work of @DrBurkeHarris at @CYWSanFrancisco, we understand better than ever the trauma and stress caused by poverty, and what children need to help them break the cycle. @WBURhttps://t.co/jUnBQGLg4x",Early Childhood,2018-01-25 01:39 +0000,2459,46,6
9.56E+17,https://twitter.com/tippingpoint/status/955604487384612864,Fired up for @DrBurkeHarris‰Ûª new book on childhood adversity and breaking the pathways to toxic stress. Proud to support her work at @CYWSanFrancisco: https://t.co/HsrQY200Tn,Early Childhood,2018-01-23 00:53 +0000,4215,52,8
9.23E+17,https://twitter.com/tippingpoint/status/922981258698690560,"Empowering and coaching new parents can change a child's future. Proud to support @NFP_nursefamily in the #BayAreahttps://t.co/WFWVndNtZ6",Early Childhood,2017-10-25 00:20 +0000,1098,10,1
9.80E+17,https://twitter.com/tippingpoint/status/979869683414310913,".@NewTeacherCtr's newly released program standards focus on equity + closing the achievement gap as well as teacher retention + leadership. @EdSource#TippingPointGrantees #BeATippingPointhttps://t.co/uMpXlNeIF9 https://t.co/nW4n9TvOG0",Education,2018-03-30 23:55 +0000,2676,40,4
9.79E+17,https://twitter.com/tippingpoint/status/979457330377932800,"Congrats @RocketshipEd! Proud to partner with your incredible teachers, admins, parents and students to build a better Bay Area! #TippingPointGrantees #BeATippingPoint https://t.co/hNTKIPHpTJ",Education,2018-03-29 20:36 +0000,1727,13,0
9.79E+17,https://twitter.com/tippingpoint/status/978785540890750976,"While more low-income students are going to college, graduation rates aren't increasing. This has real implications for future wages. #TippingPointGrantees are helping to prepare low-income students to both attend and graduate. #BeATippingPoint https://t.co/QkJMMbOmv2",Education,2018-03-28 00:07 +0000,1113,7,0
9.77E+17,https://twitter.com/tippingpoint/status/976623306756407296,"Two new @KIPPBayArea schools will significantly increase @KIPP's capacity to serve kids in in Bayview-Hunters Point and East San Jose#TippingPointGrantees #BeATippingPointhttps://t.co/BuBfOArv2B",Education,2018-03-22 00:55 +0000,948,11,6
9.75E+17,https://twitter.com/tippingpoint/status/975051547158577152,"Candacy Jeffrey, @YearUp alumna shares her story of working hard to seize every opportunity, while adjusting to living in a country where most people have to work to afford an education. @Forbes #TippingPointGrantees #BeATippingPointhttps://t.co/KWCZVT9BDx",Education,2018-03-17 16:49 +0000,1983,22,4
9.72E+17,https://twitter.com/tippingpoint/status/971554209534394368,"It was true in January, it remains true today - 70% of American teachers support #DACA and the #Dreamers. In their own words in @EdWeek, see why:https://t.co/R2Y205FQ16 https://t.co/LBiU57CLZH",Education,2018-03-08 01:12 +0000,1267,10,1
9.72E+17,https://twitter.com/tippingpoint/status/971547988945395713,"A deep dive from @EdTrust looks at the experience of Latino teachers, their unique challenges, and the value they add to classrooms across America. #BeATippingPoint https://t.co/JL2g5caXa3",Education,2018-03-08 00:47 +0000,1325,7,0
9.69E+17,https://twitter.com/tippingpoint/status/969388731219132416,".@Beyond12 supports low-income, first-generation students on their path through college. Since 2015, they've nearly doubled the number of Bay Area students receiving intensive coaching through their program, and are on track to scale even further in 2018! #BeATippingPoint https://t.co/6gODMxV1AX",Education,2018-03-02 01:47 +0000,762,18,0
9.69E+17,https://twitter.com/tippingpoint/status/969032196429197312,"Last year alone, @TFABayArea teachers served 22,620 students throughout the Bay Area. We're proud to support their efforts! #BeATippingPoint https://t.co/MzD5ZAbvab",Education,2018-03-01 02:10 +0000,1169,16,1
9.68E+17,https://twitter.com/tippingpoint/status/967826865720147968,"@collegetrack helped send over 1,400 low-income, first generation students to college in the last year alone. This is what it takes to build a stronger Bay Area. #BeATippingPoint https://t.co/63NbL53dul",Education,2018-02-25 18:21 +0000,80,1,0
9.67E+17,https://twitter.com/tippingpoint/status/967193925420109824,"Nationwide, 3% of former foster youth graduate from college. @SFStateGSP supports former foster youth every step of the way, graduating 70% of their participants within 6 years.  #BeATippingPoint https://t.co/dw7IdcGZGW",Education,2018-02-24 00:26 +0000,1503,11,0
9.64E+17,https://twitter.com/tippingpoint/status/964306073573236736,"What sets @RocketshipEd apart? Dedicated educators and a spirit of inclusion and opportunity are just the beginning, read more with @NCalNewshttps://t.co/NrZI2k77q6 https://t.co/RQPchZmiaJ",Education,2018-02-16 01:10 +0000,1731,14,3
9.64E+17,https://twitter.com/tippingpoint/status/963951725504733185,"Strong mentorship bonds and an emphasis on equity for all students - how @NTC is raising the standards in classrooms across America. @EdWeekhttps://t.co/ovi0trLtch",Education,2018-02-15 01:42 +0000,1110,3,1
9.62E+17,https://twitter.com/tippingpoint/status/962122125350973440,"Congratulations, @calibercampus on the new home for Beta Academy! We're fired up to see you grow and serve even more students! @RichmonStandard https://t.co/8JPsGvAD26",Education,2018-02-10 00:32 +0000,909,4,0
9.62E+17,https://twitter.com/tippingpoint/status/961781022919606272,"Hear from @KALW about Oakland's bold plan to invest in college readiness and persistence for low-income students.https://t.co/LYPPZak4Km",Education,2018-02-09 01:57 +0000,853,7,1
9.61E+17,https://twitter.com/tippingpoint/status/961414066492379136,"Chan Zuckerberg's exciting investment in @NewTeacherCtr will lift up Ravenswood educators and help them better-serve their students, 44% of whom identify as homeless. @mercnews https://t.co/AZON7O3Q1P",Education,2018-02-08 01:39 +0000,927,6,0
9.61E+17,https://twitter.com/tippingpoint/status/960682120413786112,"Founder @abernadotte drew from her own experience to create @beyond12, which now supports hundreds of thousands of low-income and first-generation college students. @BostonGlobe https://t.co/yPh1pIwmUp",Education,2018-02-06 01:10 +0000,934,9,1
9.59E+17,https://twitter.com/tippingpoint/status/959242743691190272,"Building community for foster youth makes @SFSU and the whole Bay Area stronger. Shout out to @SFStateGSP for supporting these young people. @ABC7Newshttps://t.co/taNb5RWSCF",Education,2018-02-02 01:51 +0000,1216,7,0
9.90E+17,https://twitter.com/tippingpoint/status/989664007039533057,Hear from @KIPPBayArea Alumni Advisor (and alumna) about how she's using student perspectives to improve support through college and beyond. #TippingPointGrantees @LaComadreEdu https://t.co/E3fOBL74ZN,Education,2018-04-27 00:34 +0000,957,9,0
9.89E+17,https://twitter.com/tippingpoint/status/988580805554331648,"Tim Daily of @EdNavigator weighs in on shortcomings in our current education system, and how they can be improved for low-income families in @The74 https://t.co/vgRgLV7Upy",Education,2018-04-24 00:50 +0000,460,2,0
9.87E+17,https://twitter.com/tippingpoint/status/987477581459935233,@JohnBKing @EdTrustWest Thanks for getting the word out @JohnBKing - We learned a lot from the team at @EdTrustWest and wish them great success in the fight to bring equity to #California schools.,Education,2018-04-20 23:46 +0000,116,2,0
9.87E+17,https://twitter.com/tippingpoint/status/986780385492189185,".@EdTrustWest takes a data-driven approach to education reform, organizing communities across California to stand up for racial equity in education. Read our conversation with Executive Director, Ryan Smithhttps://t.co/OAODuBujp2 https://t.co/3BT20p41ds",Education,2018-04-19 01:35 +0000,2411,40,8
9.38E+17,https://twitter.com/tippingpoint/status/938228984373841920,"Tipping Point grantee @experienceBELL spotlighted as a key program within @BigLiftTeam efforts to improve #education outcomes for low-income students. @smdailyjournal https://t.co/usyJKcfzep https://t.co/HM5JyTpfMt",Education,2017-12-06 02:09 +0000,977,2,0
9.24E+17,https://twitter.com/tippingpoint/status/924345636455030784,"Enlightening piece from @EdSurge on helping low-income students overcome toxic stress and other barriers to success.https://t.co/evX51sP8OC",Education,2017-10-28 18:42 +0000,1074,11,4
9.19E+17,https://twitter.com/tippingpoint/status/918634733281599488,"Proud to support @TFABayArea. We stand w @TeachForAmerica - support our #DACAmented teachers, neighbors + friends.https://t.co/VpjIid3CwZ",Education,2017-10-13 00:29 +0000,912,7,3
9.18E+17,https://twitter.com/tippingpoint/status/918269455687327744,"For your listening - @Stitcher + @EdSource examine the needs of California's most vulnerable students.https://t.co/ch4Xz0RA4n",Education,2017-10-12 00:17 +0000,1335,12,2
9.18E+17,https://twitter.com/tippingpoint/status/917846122550370305,Proud to support @RocketshipEd and their service to kids throughout the #BayArea - Keep up the great work! #BeATippingPoint https://t.co/KEXfyyya3a,Education,2017-10-10 20:15 +0000,981,14,0
9.16E+17,https://twitter.com/tippingpoint/status/915649975215722496,We came away informed + fired up to fight for equity in #California education. Thank you @EdTrustWest! #data4thepeople #BeATippingPoint https://t.co/YzS2uGXLaW,Education,2017-10-04 18:49 +0000,1142,9,0
9.77E+17,https://twitter.com/tippingpoint/status/976868273693356032,Proud to fund @stridecenter's efforts to build an inclusive 21st century workforce! #TippingPointGrantees #BeATippingPoint https://t.co/K2BT17pAJe,Employment,2018-03-22 17:08 +0000,954,5,0
9.77E+17,https://twitter.com/tippingpoint/status/976618227244548097,Proud to fund @MAFpajarito and echo their support for hardworking families like the one in this @Time article. #TippingPointGrantees #BeATippingPoint https://t.co/P9FEc2GufF,Employment,2018-03-22 00:35 +0000,832,1,0
9.77E+17,https://twitter.com/tippingpoint/status/976616575993196544,".@TippingPoint partner @Workday hosts the Opportunity Onramps conference on April 24! Talia Nagar, our #Employment Sr. Program Officer, will moderate a panel including @UpwardlyGlobal + @StrideCenter #TippingPointGranteeshttps://t.co/uGNfEnI71V",Employment,2018-03-22 00:28 +0000,788,13,5
9.69E+17,https://twitter.com/tippingpoint/status/968661884386734081,".@GenesysWorksBA sets young people on a path to prosperity through internships and professional skills development. Last year alone they placed over 100 low-income high school seniors at companies throughout the region, 96% of whom went on to enroll in college. #BeATippingPoint https://t.co/GMsZGROuX5",Employment,2018-02-28 01:39 +0000,1237,11,0
9.60E+17,https://twitter.com/tippingpoint/status/959585976652775427,".@AspenInstitute profiles an exciting partnership between @SFOEWD + @Samaschool, a Tipping Point grantee, to prepare low-income workers for success in the gig economy.https://t.co/D3nBpY7vaf",Employment,2018-02-03 00:34 +0000,977,13,4
9.94E+17,https://twitter.com/tippingpoint/status/994012210887249920,"#TippingPointGrantees @YearUpBayArea + @GenesysWorksBA get a shout out from @FastCompany for creating opportunities for low-income people to accelerate their careers.https://t.co/e3hTkvIduF",Employment,2018-05-09 00:32 +0000,1212,13,2
9.82E+17,https://twitter.com/tippingpoint/status/982052711691464704,"Join us April 24th at @Workday's Opportunity Onramps conference for a conversation on job training programs to close the opportunity gap, featuring #TippingPointGrantees @stridecenter + @Upwardly_Global #OppOnrampshttps://t.co/wTgoniHS7R",Employment,2018-04-06 00:29 +0000,2036,20,2
9.82E+17,https://twitter.com/tippingpoint/status/981688108910440448,50% of the U.S. workforce will be independent workers by 2027 based on current growth rate. Check out @Samaschoolorg‰Ûªs new campaign to prepare jobseekers for the #gigeconomy https://t.co/L7wH7tg8By #FutureIsIndependent #TippingPointGrantees https://t.co/0ltD9lnJZp,Employment,2018-04-05 00:20 +0000,1256,18,2
9.18E+17,https://twitter.com/tippingpoint/status/917905911531765760,.@newdoorsf helps young people in our community build a path to a better future. Rafael's story is an inspiration! #BeATippingPoint https://t.co/ffPieo3q1O,Employment,2017-10-11 00:13 +0000,824,8,0
9.15E+17,https://twitter.com/tippingpoint/status/915269284263215104,Thank you for building on-ramps for talent in our community! #BeATippingPoint https://t.co/5deVN65ySO,Employment,2017-10-03 17:36 +0000,866,5,0
9.15E+17,https://twitter.com/tippingpoint/status/915012868143177728,S/O to @ceoworks! Last year 237 people in #Oakland + #SanJose landed stable living wage jobs with their support. Thank you! #BeATippingPoint https://t.co/q1GFvxFggA,Employment,2017-10-03 00:37 +0000,758,9,0
9.80E+17,https://twitter.com/tippingpoint/status/979902365447827457,"Thank you to our #TippingPointGrantees! It's an honor to work with you to build a better Bay Area.https://t.co/qwmUq7Alsd",Event Promotion,2018-03-31 02:05 +0000,980,9,5
9.77E+17,https://twitter.com/tippingpoint/status/977057417321095169,Thank you #LucasFilm trivia night players! $102k raised for Bay Area nonprofits from teams like #GentlyGruntingTauntauns (favorite name weâ€™ve seen) #BeATippingPoint https://t.co/Vl8MdxyJEq,Event Promotion,2018-03-23 05:40 +0000,17606,273,18
9.76E+17,https://twitter.com/tippingpoint/status/976495484700311552,"What a night! Thank you @TheBonnieRaitt for bringing our community together at @foxoakland to support #NorthBayFire relief. #BeATippingPointhttps://t.co/9IL7JZO5of",Event Promotion,2018-03-21 16:27 +0000,11544,68,22
9.73E+17,https://twitter.com/tippingpoint/status/972540210318725120,"Big thanks to @RBC + @CityNational for honoring Tipping Point as a beneficiary! Sign up to ride today:https://t.co/awn1Smw6pN",Event Promotion,2018-03-10 18:30 +0000,545,4,1
9.72E+17,https://twitter.com/tippingpoint/status/972272451731185665,Thank you @ProjectOpenHand for hosting our annual Day of Service! It was awesome working alongside you to serve our neighbors. #MealsWithLove #BeATippingPoint https://t.co/zZBxUNwOGa,Event Promotion,2018-03-10 00:46 +0000,1157,20,5
9.70E+17,https://twitter.com/tippingpoint/status/969710091652902912,"Awesome event at @bluxomewinery last night, thanks to all who attended, and special thanks to @kkellyjanus + @ahperkins for sharing guidance on making an impact. #BeATippingPointhttps://t.co/rfRkAYVNup",Event Promotion,2018-03-02 23:04 +0000,1159,19,5
9.97E+17,https://twitter.com/tippingpoint/status/997276188388114432,"We raised more than $14M that night. Every dollar will support Bay Area non-profits providing housing, education, employment and early childhood wellness services to the people who need it most. #BeATippingPoint",Event Promotion,2018-05-18 00:42 +0000,656,17,0
9.97E+17,https://twitter.com/tippingpoint/status/997276180276379648,#TBT: City Hall + Coit Tower went green to celebrate #TippingPointBenefit 2018. Thank you to everyone who made that amazing evening possible! https://t.co/CxRQMUEkfr,Event Promotion,2018-05-18 00:42 +0000,4761,46,1
9.92E+17,https://twitter.com/tippingpoint/status/992302081909248001,".@KISSTHEDEEJAY plays out #TippingPointBenefit - thank you to our incredible speakers, artists and guests for uniting to celebrate our common thread. #BeATippingPoint #MakePovertyPreventable https://t.co/nGVVs5dIjO",Event Promotion,2018-05-04 07:17 +0000,1320,23,0
9.92E+17,https://twitter.com/tippingpoint/status/992289800248938498,Swinging with @leonbridges at #TippingPointBenefit - beautiful sound on a beautiful night! Thank you to all our guests for your generous support for Bay Area non-profits! #MakePovertyPreventable #BeATippingPoint https://t.co/GbCYLcG9ay,Event Promotion,2018-05-04 06:28 +0000,1679,50,1
9.92E+17,https://twitter.com/tippingpoint/status/991866380344377345,"Fired up for @KISSTHEDEEJAY to close out the #TippingPointBenefit tomorrow night! Thanks for helping build a better Bay Area.#BeATippingPoint #MakePovertyPreventable https://t.co/OyIhZIgbK7",Event Promotion,2018-05-03 02:25 +0000,1111,19,0
9.92E+17,https://twitter.com/tippingpoint/status/991866306977710080,Can't wait to hear the sweet sounds of @leonbridges headlining the #TippingPointBenefit tomorrow night! Thank you for helping bring our community together to fight poverty in the Bay Area #BeATippingPoint #MakePovertyPreventable https://t.co/BTRaPN566r,Event Promotion,2018-05-03 02:25 +0000,1387,14,0
9.92E+17,https://twitter.com/tippingpoint/status/991865841577701376,"Tomorrow, our community will unite to celebrate the common thread that connects us all, by investing in non-profits that help break the cycle of poverty for low-income people throughout the Bay Area. #TippingPointBenefit #BeATippingPoint #TippingPointGrantees https://t.co/Dgn3jo0MzA",Event Promotion,2018-05-03 02:23 +0000,1562,26,2
9.89E+17,https://twitter.com/tippingpoint/status/988938671934984192,"Thanks to the overwhelming response of the Tipping Point community, all tables to our annual Benefit have officially sold out! For those who want to support our work fighting poverty in the Bay Area, there's still time to donate to the 2018 campaign!https://t.co/aYqPQAs3kS https://t.co/Z0RLvEYAch",Event Promotion,2018-04-25 00:32 +0000,896,18,7
9.16E+17,https://twitter.com/tippingpoint/status/916087431555727360,"Fired up to hear @geographermusic play @mezzanineSF for #TPSocial! Thank you for giving back to the #BayArea! #BeATippingPoint https://t.co/rqv2Q4FvC3",Event Promotion,2017-10-05 23:47 +0000,762,11,0
